Título,Descripción,Fecha,Fecha_año,Fecha_mes,Fecha_dia,Fecha_hora,Enlace permanente,Tipo de publicación,Personas alcanzadas,Total de clics,Impresiones,Interacciones,Veces que se compartió,Me gusta,Comentarios,Usuarios que interactúan,Año,Mes,Nombre_Mes,Mes_Y_Año
No tiene Título,"¿Sabías qué? 4

Grupo de investigación Galash 
Síguenos en nuestra redes sociales:
Facebook: facebook.com/GrupoGALASH/
Instagram: instagram.com/grupogalash/
Twitter: twitter.com/GrupoGalash
linkedin: linkedin.com/in/galash-grupo-de-investigación

Grupo de investigación GALASH
#UPTC #uptcsogamoso #UPTCSomosTodos #investigación #curiosidades  #IA #investigación  #data #datos #basededatos #videojuegos #programacion",2023-12-13 08:12:00,2023,12,13,08:12,https://www.facebook.com/GrupoGALASH/posts/pfbid0ybCwby4sukawqQF7C1ktA4Y3zCY1huUz5YjsaSp4owdJ52idZjejqQ6pYv5MBRzHl,Foto,45,2.0,58.0,20,1,19,0,16.0,2023,12,December,December 2023
Actualización de estado,No tiene descripción,2023-12-13 08:12:00,2023,12,13,08:12,https://www.facebook.com/GrupoGALASH/posts/pfbid02g75byY4RoHqJ8GM2HrGtV6HeHQh3fUoaBhXjXynSasm9sUKdyYBWsSZorZik2vfbl,Foto,45,1.0,53.0,15,0,15,0,16.0,2023,12,December,December 2023
Actualización de estado,No tiene descripción,2023-12-13 08:12:00,2023,12,13,08:12,https://www.facebook.com/GrupoGALASH/posts/pfbid0LCWeS9uEWJiLbnwDFK3aEZXBfWdfQYco6eVWN6MFdsZAPwrtwz884THe4TKd16r8l,Video,30,0.0,39.0,13,0,13,0,13.0,2023,12,December,December 2023
Actualización de estado,No tiene descripción,2023-12-15 13:12:00,2023,12,15,13:12,https://www.facebook.com/GrupoGALASH/posts/pfbid02N2LQuKLgfcQx5mo15bZMfCwcrstbmo3Znka3uHRk9QM6TW25mntwc9ax4jqXwVtcl,Foto,34,2.0,43.0,15,0,15,0,17.0,2023,12,December,December 2023
No tiene Título,"Curiosidades #4 

Grupo de investigación GALASH
Síguenos en nuestra redes sociales: 
Facebook: facebook.com/GrupoGALASH/
Instagram: instagram.com/grupogalash/
Twitter: twitter.com/GrupoGalash
linkedin: linkedin.com/in/galash-grupo-de-investigación

Grupo de investigación GALASH
#UPTC #uptcsogamoso #UPTCSomosTodos #investigación #IA #IAgenerativa  #investigación #computador #computadoras #GALASH #grupodeinvestigación",2023-12-15 13:12:00,2023,12,15,13:12,https://www.facebook.com/GrupoGALASH/posts/pfbid0he63sAi1h159qSx2epBb1U3TwAL7XUHxmyM9Bv5xumFUMSmDD6NiJqDRYWC3Jxi3l,Foto,53,4.0,70.0,19,1,18,0,16.0,2023,12,December,December 2023
Actualización de estado,No tiene descripción,2023-12-18 13:12:00,2023,12,18,13:12,https://www.facebook.com/GrupoGALASH/posts/pfbid0TYYLBzm9v8d1Kmj2Q2ZN7LCZRDJkgzN3SJ8KpbYWt4f2xJXhMqLFjyShTovCfY6tl,Foto,61,1.0,71.0,15,1,14,0,15.0,2023,12,December,December 2023
No tiene Título,"¿Sabías qué? #5 

Grupo de investigación Galash 
Síguenos en nuestra redes sociales:
Facebook: facebook.com/GrupoGALASH/
Instagram: instagram.com/grupogalash/
Twitter: twitter.com/GrupoGalash
linkedin: linkedin.com/in/galash-grupo-de-investigación

Grupo de investigación GALASH
#UPTC #uptcsogamoso #UPTCSomosTodos #investigación #curiosidades  #IA #investigación  #data #datos #basededatos #videojuegos #programacion",2023-12-18 13:12:00,2023,12,18,13:12,https://www.facebook.com/GrupoGALASH/posts/pfbid0Gaq2tGT3srtgsxiZQnue4pbqoXzwtCaWoP4QJ2iF69zTcwprRhqEkA2wuC2DLk3tl,Foto,59,4.0,81.0,20,2,18,0,16.0,2023,12,December,December 2023
Actualización de estado,No tiene descripción,2023-12-20 09:12:00,2023,12,20,09:12,https://www.facebook.com/GrupoGALASH/posts/pfbid0334b6bEG2Z1JriwtZkN9WhnxMo64hBm2xDybZdDcVruVCkwmFXjhHCqWnWh2JzepCl,Foto,67,11.0,77.0,16,1,15,0,25.0,2023,12,December,December 2023
Actualización de estado,No tiene descripción,2023-12-20 09:12:00,2023,12,20,09:12,https://www.facebook.com/GrupoGALASH/posts/pfbid02RB3XmcejfoChSpUuLcv962rHFev9KRDzsb6b8WogedkV68EPT32VmHFZnL3wPP44l,Video,39,1.0,50.0,15,0,15,0,14.0,2023,12,December,December 2023
No tiene Título,"Frases! #1

Síguenos en nuestra redes sociales:
Facebook: facebook.com/GrupoGALASH/
Instagram: instagram.com/grupogalash/
Twitter: twitter.com/GrupoGalash
linkedin: linkedin.com/in/galash-grupo-de-investigación

Grupo de investigación GALASH
#UPTC #uptcsogamoso #UPTCSomosTodos #investigación #curiosidades #frases #investigación #piesapositivo",2023-12-20 11:12:00,2023,12,20,11:12,https://www.facebook.com/GrupoGALASH/posts/pfbid02cvQVepoXviwh6m4E1bto3sfKEo45xFDZnWpBimPC1mjJWrNS3TFMvzUo8iqTJgWTl,Foto,65,4.0,84.0,19,1,18,0,16.0,2023,12,December,December 2023
Actualización de estado,No tiene descripción,2023-12-21 11:12:00,2023,12,21,11:12,https://www.facebook.com/GrupoGALASH/posts/pfbid02UAaZ3evcr32axXxUZQEZ9fy6NkRbSjArjnbc5EemG4EGWvehjkNDWu5vk8cpih2fl,Foto,41,0.0,53.0,15,0,15,0,15.0,2023,12,December,December 2023
